"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE991496054311";"PV-Anlage";"In Betrieb";"11.5.2023";"17.8.2023";"Solare Strahlungsenergie";"9";"9";"95689";"Fuchsmühl";"(natürliche Person)";"ABR909457830522";"1.9.2023"
"SEE997974467079";"Dach";"In Betrieb";"7.2.2023";"17.8.2023";"Solare Strahlungsenergie";"12,15";"12,15";"91804";"Mörnsheim";"(natürliche Person)";"ABR972465075452";"28.12.2023"
"SEE937336995024";"Birgittskraftwerk";"In Betrieb";"17.8.2023";"17.8.2023";"Solare Strahlungsenergie";"0,83";"0,6";"91438";"Bad Windsheim";"(natürliche Person)";"ABR949419350408";"17.8.2023"
"SEE949645529265";"Photovoltaikanlage";"In Betrieb";"18.7.2023";"17.8.2023";"Solare Strahlungsenergie";"10,25";"8";"97797";"Wartmannsroth";"(natürliche Person)";"ABR903281498101";"18.8.2023"
"SEE987039407072";"PV Anlage 2023";"In Betrieb";"20.10.2022";"17.8.2023";"Solare Strahlungsenergie";"19,44";"17,4";"83233";"Bernau";"(natürliche Person)";"ABR967494157484";"4.12.2023"
"SEE995062299724";"Garagendach";"In Betrieb";"14.8.2023";"17.8.2023";"Solare Strahlungsenergie";"1,3";"1,3";"95179";"Geroldsgrün";"(natürliche Person)";"ABR962560776897";"17.8.2023"
"SEE961185847340";"twbauleitung@gmail.com";"In Betrieb";"17.8.2023";"17.8.2023";"Solare Strahlungsenergie";"4,98";"4,98";"63911";"Klingenberg";"(natürliche Person)";"ABR962538785531";"9.9.2023"
"SEE940294054900";"Solar-Angelos";"In Betrieb";"9.3.2023";"17.8.2023";"Solare Strahlungsenergie";"0,82";"0,6";"91183";"Abenberg";"(natürliche Person)";"ABR911932986945";"21.12.2023"
"SEE986129722293";"Dachkraftwerk";"In Betrieb";"29.6.2023";"17.8.2023";"Solare Strahlungsenergie";"9,72";"9,72";"86637";"Wertingen";"(natürliche Person)";"ABR968871993961";"23.1.2024"
"SEE988708816461";"Blaim Garage";"In Betrieb";"7.7.2023";"17.8.2023";"Solare Strahlungsenergie";"5,1";"5";"94363";"Oberschneiding";"(natürliche Person)";"ABR946773280020";"22.12.2023"
"SEE961363980630";"PV Hausdach";"In Betrieb";"14.8.2023";"17.8.2023";"Solare Strahlungsenergie";"9,75";"9,75";"96179";"Rattelsdorf";"(natürliche Person)";"ABR980604147465";"5.12.2023"
"SEE924805440475";"Hausdach";"In Betrieb";"5.7.2023";"17.8.2023";"Solare Strahlungsenergie";"20,72";"16";"94149";"Kößlarn";"(natürliche Person)";"ABR902002584987";"3.11.2023"
"SEE969409218846";"PV Anlage";"In Betrieb";"3.8.2023";"17.8.2023";"Solare Strahlungsenergie";"12,3";"10";"80995";"München";"(natürliche Person)";"ABR947499957395";"17.8.2023"
"SEE946148751056";"Garage";"In Betrieb";"11.8.2023";"17.8.2023";"Solare Strahlungsenergie";"0,6";"0,6";"92342";"Freystadt";"(natürliche Person)";"ABR956885070860";"18.10.2023"
"SEE992014231535";"Stromski24";"In Betrieb";"19.10.2022";"17.8.2023";"Solare Strahlungsenergie";"9,66";"8";"83123";"Amerang";"(natürliche Person)";"ABR905494646867";"1.12.2023"
"SEE959401017622";"PV-Anlage 2 Wohnhaus- und Garagendach";"In Betrieb";"4.8.2023";"17.8.2023";"Solare Strahlungsenergie";"10,32";"8";"97711";"Thundorf";"(natürliche Person)";"ABR942750483002";"25.10.2023"
"SEE941740452004";"Hausdach";"In Betrieb";"2.8.2023";"17.8.2023";"Solare Strahlungsenergie";"9,84";"9,84";"84375";"Kirchdorf";"(natürliche Person)";"ABR939530392982";"17.8.2023"
"SEE934228957092";"Dach-PV";"In Betrieb";"3.4.2023";"17.8.2023";"Solare Strahlungsenergie";"7,315";"7,315";"90574";"Roßtal";"(natürliche Person)";"ABR935804881756";"10.10.2023"
