"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE946906439424";"Garage";"In Betrieb";"13.4.2019";"14.4.2019";"Solare Strahlungsenergie";"0,6";"0,6";"86179";"Augsburg";"(natürliche Person)";"ABR906332707566";"14.4.2019"
"SEE980459000625";"Ost-30kw-2017";"In Betrieb";"12.1.2017";"14.4.2019";"Solare Strahlungsenergie";"29,68";"29,68";"94333";"Geiselhöring";"(natürliche Person)";"ABR967080700827";"28.5.2019"
"SEE985841679588";"Garage 6A";"In Betrieb";"24.7.2018";"14.4.2019";"Solare Strahlungsenergie";"4,64";"4";"91734";"Mitteleschenbach";"(natürliche Person)";"ABR955673932793";"6.12.2019"
"SEE963630726767";"Solaranlage Garage";"In Betrieb";"1.4.2019";"14.4.2019";"Solare Strahlungsenergie";"6,84";"6,84";"87471";"Durach";"(natürliche Person)";"ABR961098874204";"22.10.2020"
"SEE962198676064";"Hausdach";"In Betrieb";"7.1.2019";"14.4.2019";"Solare Strahlungsenergie";"9,86";"8,5";"85111";"Adelschlag";"(natürliche Person)";"ABR905593488238";"15.12.2022"
"SEE923978261702";"Haus";"In Betrieb";"25.8.2016";"14.4.2019";"Solare Strahlungsenergie";"6,36";"6";"94496";"Ortenburg";"(natürliche Person)";"ABR908925819465";"22.11.2021"
"SEE960902811329";"Zell 5";"In Betrieb";"7.3.2018";"14.4.2019";"Solare Strahlungsenergie";"7,7";"7";"82272";"Moorenweis";"(natürliche Person)";"ABR958472431719";"26.6.2019"
"SEE979779993960";"Wohnhaus";"In Betrieb";"25.5.2017";"14.4.2019";"Solare Strahlungsenergie";"4,425";"4,2";"97511";"Lülsfeld";"(natürliche Person)";"ABR996071793401";"2.8.2019"
"SEE945215683207";"PV-Anlage Dach";"In Betrieb";"3.5.2016";"14.4.2019";"Solare Strahlungsenergie";"7,8";"7";"87656";"Germaringen";"(natürliche Person)";"ABR921849124385";"25.7.2022"
"SEE929387039413";"PV ZH";"In Betrieb";"5.12.2018";"14.4.2019";"Solare Strahlungsenergie";"9,9";"9,9";"86742";"Fremdingen";"(natürliche Person)";"ABR952995754058";"20.9.2023"
